target,model,r2,mae,rmse,n_train,n_test
placement,MLR,-0.418300045092709,3.500794637968171,4.3682471377541265,336,85
placement,RandomForest,-0.1685622241883049,3.366729411764706,3.965053614354525,336,85
placement,MLP,0.004561119309699158,3.2581314851317615,3.659573234305941,336,85
avg_judge_score,MLR,-0.3720440915186467,2.7422087460225106,3.315927377053587,336,85
avg_judge_score,RandomForest,-0.18006044242015662,2.594774887269556,3.075198134947018,336,85
avg_judge_score,MLP,-0.06188742731646091,2.5740265572775725,2.9171597711699686,336,85
