transformed_feature,mdi
cat__ballroom_partner_Tristan MacManus,0.00047415751486836534
cat__celebrity_homecountry/region_Argentina,0.0004707182458049723
cat__celebrity_homestate_West Virginia,0.00046690101885886627
cat__celebrity_industry_Politician,0.0004496520379717551
cat__celebrity_homestate_Nevada,0.00036924027429326725
cat__celebrity_homestate_Maine,0.0003477871951590016
cat__celebrity_homecountry/region_Mexico,0.00032947412227775694
cat__ballroom_partner_Kym Herjavec,0.0003278885818010972
cat__celebrity_homestate_Arizona,0.00031538910299263765
cat__ballroom_partner_Rylee Arnold,0.0003036187139219939
cat__celebrity_industry_Sports Broadcaster,0.0002835330686552477
cat__celebrity_homestate_New Hamshire,0.00027647367068865826
cat__celebrity_homecountry/region_New Zealand,0.00027603538367523324
cat__celebrity_homestate_Alaska,0.0002587616649829613
cat__ballroom_partner_Corky Ballas,0.00023572352896104163
cat__celebrity_homecountry/region_Ireland,0.0002173887533619066
cat__celebrity_homestate_Nebraska,0.00020417926487522126
cat__celebrity_homecountry/region_Chile,0.00019218240652013174
cat__celebrity_industry_Fitness Instructor,0.0001778703334161971
cat__celebrity_industry_Fashion Designer,0.0001733787233948439
cat__celebrity_homecountry/region_France,0.00013153513432721673
cat__ballroom_partner_Henry Byalikov,0.0001306047813699076
cat__ballroom_partner_Val Chmerkovskiy,0.00012891836922980269
cat__celebrity_industry_Motivational Speaker,9.78724800883085e-05
cat__celebrity_homecountry/region_Spain,7.597900547510889e-05
cat__celebrity_industry_Magician,6.76046323955151e-05
cat__celebrity_homecountry/region_Cuba,6.36274564226997e-05
cat__celebrity_industry_Military,5.958273355980047e-05
cat__celebrity_homestate_South Dakota,5.8181766124387825e-05
cat__ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),5.614976344106833e-05
cat__celebrity_industry_Journalist,4.820117424554972e-05
cat__celebrity_homestate_Colorado,3.424658317614829e-05
cat__ballroom_partner_Tyne Stecklein,2.7383862318738146e-05
cat__celebrity_industry_Astronaut,5.275987988571139e-06
