y_true,y_pred
2.1666666666666665,8.264086277828278
2.9696969696969693,4.414573544781143
6.75,5.05664128377105
9.0625,3.312454047542083
8.791666666666666,7.132837614175081
2.3833333333333333,5.090790445892251
4.466666666666667,5.40345355912458
4.929166666666667,6.333227792592621
8.74444,6.706772090622873
1.1833333333333333,7.161814700690259
3.7166666666666663,5.345489328737374
4.26666,7.265465645757569
7.3375,6.581565594040406
4.5666633333333335,5.689816168400689
4.037878787878788,5.382716589427603
8.838381818181817,7.633760150437726
7.020833333333334,4.4917105931313115
0.9242424242424243,7.911177674898969
5.333333333333334,7.156288850101023
1.75,4.497238099259265
9.210851515151516,7.710625442306411
1.0151515151515154,3.4427615109427596
8.15530303030303,6.004520701986556
8.1875,7.005406399175073
6.966666666666666,6.696867078299666
7.5875,8.416564325134674
8.716666666666665,4.345201669158232
7.8375,4.558335020808092
2.378787878787879,3.586997441212125
6.606060606060606,5.039420245016833
1.0,1.7125079092255913
3.183333333333333,1.8089915070707099
4.475,1.6579914178451205
7.575751515151516,1.5404600010101037
8.363624242424242,5.283689622087544
8.916666666666666,6.099433032188552
6.511363636363637,1.9082746212121247
5.7,2.9639014362962928
9.45508,8.073362375252508
4.636363636363637,5.18245160592593
9.227272727272727,7.268433751195291
1.6666666666666665,5.958726521010102
3.6212121212121215,5.15596854053872
1.3333333333333333,3.103448569494955
2.5666666666666664,7.590398864562275
1.075,2.645274563771042
5.633333333333333,3.616309589292929
8.883333333333333,7.145497469057264
7.1625,5.181987840740743
0.5416666666666666,2.504848302659933
4.181818181818182,2.904735111481488
0.6481481481481481,6.009058775505052
8.055555555555555,2.9981233650168337
7.7666666666666675,6.226044413181827
5.25,7.460227381245816
5.6875,7.856262472356888
7.8208325,5.894863085185184
5.6875,3.2664236922895804
3.1515151515151514,2.5939434991245816
1.0606060606060608,2.1266763282154884
3.883333333333333,2.602300087542088
2.35,3.4462779490067215
4.766666666666667,1.7767384696969668
0.9393939393939393,7.470975116414148
2.2666666666666666,5.387872812962957
3.475,8.298905752121199
9.140148484848485,8.243347506380463
2.7666666666666666,8.136108235185176
2.8,7.6098801593939065
2.4,2.089803913333335
2.2333333333333334,7.5137460869697
3.666666666666667,6.515565508350157
4.05,4.159611885488219
8.545454545454545,6.217554642104387
1.3333333333333333,5.191163598080812
9.077773333333333,4.697787774478126
8.970830000000001,7.068220464191895
3.9999933333333333,5.8018552723232215
0.8636363636363636,2.2780741073400685
8.1856,3.680692221481488
9.4,6.453073768787886
5.234848484848484,1.2728767410101027
3.5,5.892493632053866
3.233333333333333,4.983255344781147
1.4,6.072010033989905
